"ID","gene","pathway"
"1042","GRMZM2G059308","GA<sub>12<sub> biosynthesis"
"1043","GRMZM2G059308","GA<sub>12<sub> biosynthesis"
"1044","GRMZM2G303707","cytokinins degradation"
"1045","GRMZM2G303707","cytokinins degradation"
"1046","GRMZM2G303707","cytokinins degradation"
"1047","GRMZM2G303707","cytokinins degradation"
"1048","GRMZM2G303707","cytokinins degradation"
"1049","GRMZM2G027385","lactose degradation III"
"1050","GRMZM2G005886","cyclopropane fatty acid (CFA) biosynthesis"
"1051","GRMZM2G005886","cyclopropane and cyclopropene fatty acid biosynthesis"
"1052","GRMZM2G444378","sphingolipid biosynthesis (plants)"
"1053","AC188582.3_FG002","acetyl-CoA biosynthesis (from citrate)"
"1054","AC188582.3_FG002","TCA cycle variation III (eukaryotic)"
"1055","GRMZM5G860318","glycerol-3-phosphate shuttle"
"1056","GRMZM2G022558","palmitate biosynthesis II (bacteria and plants)"
"1057","GRMZM2G022558","palmitate biosynthesis II (bacteria and plants)"
"1058","GRMZM2G022558","palmitate biosynthesis II (bacteria and plants)"
"1059","GRMZM2G022558","palmitate biosynthesis II (bacteria and plants)"
"1060","GRMZM2G022558","palmitate biosynthesis II (bacteria and plants)"
"1061","GRMZM2G022558","stearate biosynthesis II (plants)"
"1062","GRMZM2G406603","palmitate biosynthesis II (bacteria and plants)"
"1063","GRMZM2G406603","acyl-ACP thioesterase pathway"
"1064","GRMZM2G406603","palmitoleate biosynthesis II"
"1065","GRMZM2G406603","<i>cis<i>-vaccenate biosynthesis"
"1066","GRMZM2G047564","valine degradation I"
"1067","GRMZM2G047564","&beta;-alanine biosynthesis II"
"1068","GRMZM2G344993","nitrogen fixation"
"1069","GRMZM2G475884","nitrogen fixation"
"1070","GRMZM2G475884","cytokinins-<i>O<i>-glucoside biosynthesis"
"1071","GRMZM2G475884","cytokinins-<i>O<i>-glucoside biosynthesis"
"1072","GRMZM2G095206","23-dihydroxybenzoate biosynthesis"
"1073","GRMZM2G101004","heme degradation"
"1074","GRMZM2G157936","heme degradation"
"1075","GRMZM5G853065","fatty acid elongation -- saturated"
"1076","GRMZM5G853065","pyruvate fermentation to ethanol II"
"1077","GRMZM5G853065","acetaldehyde biosynthesis I"
"1078","GRMZM5G853065","ethanol degradation II (cytosol)"
"1079","GRMZM5G853065","23-dihydroxybenzoate biosynthesis"
"1080","GRMZM5G853065","valine degradation II"
"1081","GRMZM5G853065","leucine degradation III"
"1082","GRMZM5G853065","phenylethanol biosynthesis"
"1083","GRMZM5G853065","palmitate biosynthesis II (bacteria and plants)"
"1084","GRMZM5G853065","palmitate biosynthesis II (bacteria and plants)"
"1085","GRMZM5G853065","palmitate biosynthesis II (bacteria and plants)"
"1086","GRMZM5G853065","palmitate biosynthesis II (bacteria and plants)"
"1087","GRMZM5G853065","petroselinate biosynthesis"
"1088","GRMZM5G853065","<i>cis<i>-vaccenate biosynthesis"
"1089","GRMZM5G853065","stearate biosynthesis II (plants)"
"1090","GRMZM2G442551","phospholipases"
"1091","GRMZM2G442551","choline biosynthesis III"
"1092","GRMZM2G345493","glycolysis III"
"1093","GRMZM2G345493","Calvin-Benson-Bassham cycle"
"1094","GRMZM2G345493","gluconeogenesis I"
"1095","GRMZM2G345493","glycolysis I"
"1096","GRMZM2G345493","glycolysis IV (plant cytosol)"
"1097","GRMZM2G173358","geranyl diphosphate biosynthesis"
"1098","GRMZM2G173358","<i>trans trans<i>-farnesyl diphosphate biosynthesis"
"1099","GRMZM2G348666","tRNA charging pathway"
"1100","GRMZM2G348666","tRNA charging pathway"
"1101","GRMZM2G348666","tRNA charging pathway"
"1102","GRMZM2G348666","tRNA charging pathway"
"1103","GRMZM2G170927","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"1104","AC211394.4_FG004","phosphate acquisition"
"1105","AC211394.4_FG004","phosphate utilization in cell wall regeneration"
"1106","AC211394.4_FG004","NADNADH phosphorylation and dephosphorylation"
"1107","GRMZM2G049076","sucrose biosynthesis"
"1108","GRMZM2G117935","adenosine nucleotides <i>de novo<i> biosynthesis"
"1109","GRMZM2G141256","fatty acid elongation -- saturated"
"1110","GRMZM2G141256","pyruvate fermentation to ethanol II"
"1111","GRMZM2G141256","acetaldehyde biosynthesis I"
"1112","GRMZM2G141256","ethanol degradation II (cytosol)"
"1113","GRMZM2G141256","23-dihydroxybenzoate biosynthesis"
"1114","GRMZM2G141256","valine degradation II"
"1115","GRMZM2G141256","leucine degradation III"
"1116","GRMZM2G141256","phenylethanol biosynthesis"
"1117","GRMZM2G141256","palmitate biosynthesis II (bacteria and plants)"
"1118","GRMZM2G141256","palmitate biosynthesis II (bacteria and plants)"
"1119","GRMZM2G141256","palmitate biosynthesis II (bacteria and plants)"
"1120","GRMZM2G141256","palmitate biosynthesis II (bacteria and plants)"
"1121","GRMZM2G141256","petroselinate biosynthesis"
"1122","GRMZM2G141256","<i>cis<i>-vaccenate biosynthesis"
"1123","GRMZM2G141256","stearate biosynthesis II (plants)"
"1124","GRMZM2G101693","pyridine nucleotide cycling (cytosolic)"
"1125","GRMZM2G398062","adenosine nucleotides <i>de novo<i> biosynthesis"
"1126","GRMZM2G054465","cysteine biosynthesis I"
"1127","GRMZM2G033555","brassinosteroid biosynthesis II"
"1128","GRMZM2G034069","brassinosteroid biosynthesis II"
"1129","GRMZM2G108570","brassinosteroid biosynthesis II"
"1130","GRMZM2G166833","brassinosteroid biosynthesis II"
"1131","GRMZM2G468439","brassinosteroid biosynthesis II"
"1132","GRMZM2G166837","brassinosteroid biosynthesis II"
"1133","GRMZM2G180863","PRPP biosynthesis I"
"1134","GRMZM2G108149","tryptophan biosynthesis"
"1135","GRMZM2G009633","cyanate degradation"
"1136","GRMZM2G009633","ascorbate glutathione cycle"
"1137","GRMZM2G306915","betanidin degradation"
"1138","GRMZM2G111677","fatty acid biosynthesis initiation I"
"1139","GRMZM2G111677","palmitate biosynthesis II (bacteria and plants)"
"1140","GRMZM2G111677","palmitate biosynthesis II (bacteria and plants)"
"1141","GRMZM2G111677","palmitate biosynthesis II (bacteria and plants)"
"1142","GRMZM2G111677","palmitate biosynthesis II (bacteria and plants)"
"1143","GRMZM2G111677","palmitate biosynthesis II (bacteria and plants)"
"1144","GRMZM2G111677","stearate biosynthesis II (plants)"
"1145","GRMZM2G086773","brassinosteroid biosynthesis II"
"1146","GRMZM2G111082","ethylene biosynthesis from methionine"
"1147","GRMZM2G029856","GDP-L-fucose biosynthesis I (from GDP-D-mannose)"
"1148","GRMZM2G029856","colanic acid building blocks biosynthesis"
"1149","GRMZM2G029856","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"1150","GRMZM2G029856","galactose degradation III"
"1151","GRMZM2G029856","galactose degradation I (Leloir pathway)"
"1152","GRMZM2G029856","stachyose degradation"
"1153","GRMZM2G029856","UDP-galactose biosynthesis"
"1154","GRMZM2G029912","heptadecane biosynthesis"
"1155","GRMZM2G029912","cuticular wax biosynthesis"
"1156","GRMZM2G074589","asparagine biosynthesis I"
"1157","GRMZM2G074589","asparagine biosynthesis II"
"1158","GRMZM2G027835","lysine biosynthesis VI"
"1159","GRMZM2G048472","geranyl diphosphate biosynthesis"
"1160","GRMZM2G048472","<i>trans trans<i>-farnesyl diphosphate biosynthesis"
"1161","GRMZM2G341698","&gamma;-glutamyl cycle"
"1162","GRMZM2G341698","hypoglycin biosynthesis"
"1163","GRMZM2G055320","flavonoid biosynthesis"
"1164","GRMZM2G055320","phenylpropanoid biosynthesis"
"1165","GRMZM2G055320","simplecoumarins biosynthesis"
"1166","GRMZM2G055320","4-hydroxybenzoate biosynthesis V"
"1167","GRMZM2G055320","flavonoid and flavonol biosynthesis pathway leading to anthocyanin biosynthesis and accumulation"
"1168","GRMZM2G055320","suberin biosynthesis"
"1169","GRMZM2G055320","suberin biosynthesis"
"1170","GRMZM2G098423","serine biosynthesis"
"1171","GRMZM2G095302","salvage pathways of pyrimidine ribonucleotides"
"1172","GRMZM2G095302","pyrimidine ribonucleotides interconversion"
"1173","GRMZM2G095302","adenosine nucleotides <i>de novo<i> biosynthesis"
"1174","GRMZM2G095302","pyrimidine deoxyribonucleotides <i>de novo<i> biosynthesis I"
"1175","GRMZM2G095302","pyrimidine deoxyribonucleotides <i>de novo<i> biosynthesis I"
"1176","GRMZM2G095302","pyrimidine deoxyribonucleotides <i>de novo<i> biosynthesis I"
"1177","GRMZM2G095302","pyrimidine ribonucleotides interconversion"
"1178","GRMZM2G095287","Calvin-Benson-Bassham cycle"
"1179","GRMZM2G095287","gluconeogenesis I"
"1180","GRMZM2G095287","glycolysis I"
"1181","GRMZM2G151734","photorespiration"
"1182","GRMZM2G151406","copper transport II"
"1183","GRMZM2G404702","copper transport II"
"1184","GRMZM2G110408","chlorophyllide <i>a<i> biosynthesis I"
"1185","GRMZM2G110646","phospholipid biosynthesis II"
"1186","GRMZM2G110646","D-<i>myo<i>-inositol (145)-trisphosphate biosynthesis"
"1187","GRMZM2G110646","3-phosphoinositide biosynthesis"
"1188","GRMZM2G473104","adenine and adenosine salvage VI"
"1189","GRMZM2G144245","adenine and adenosine salvage VI"
"1190","GRMZM2G144730","glycolysis III"
"1191","GRMZM2G144730","glycolysis I"
"1192","GRMZM2G144730","glycolysis IV (plant cytosol)"
"1193","GRMZM2G144730","Rubisco shunt"
"1194","GRMZM2G116452","betanidin degradation"
"1195","GRMZM2G103169","betanidin degradation"
"1196","GRMZM2G363789","betanidin degradation"
"1197","GRMZM2G363789","phenylalanine biosynthesis I"
"1198","GRMZM2G035749","starch degradation"
"1199","GRMZM2G093880","&omega;-hydroxylation of caprate and laurate"
"1200","GRMZM2G093880","&omega;-hydroxylation of caprate and laurate"
"1201","GRMZM2G093880","acyl-CoA hydrolysis"
"1202","GRMZM2G368610","phospholipases"
"1203","GRMZM2G368610","triacylglycerol degradation"
"1204","GRMZM2G178546","trehalose biosynthesis I"
"1205","GRMZM2G117956","citrulline biosynthesis"
"1206","GRMZM2G117956","proline degradation"
"1207","GRMZM2G009070","folate polyglutamylation"
"1208","GRMZM2G009070","tetrahydrofolate biosynthesis (mitochondrial)"
"1209","GRMZM2G009070","folate polyglutamylation"
"1210","GRMZM2G009070","folate polyglutamylation"
"1211","GRMZM2G128577","23-dihydroxybenzoate biosynthesis"
"1212","GRMZM2G128577","valine degradation II"
"1213","GRMZM2G128577","leucine degradation III"
"1214","GRMZM2G128577","phenylethanol biosynthesis"
"1215","GRMZM2G424075","plant sterol biosynthesis"
"1216","GRMZM2G424075","cyclopropane fatty acid (CFA) biosynthesis"
"1217","GRMZM2G424075","cyclopropane and cyclopropene fatty acid biosynthesis"
"1218","GRMZM5G854500","fatty acid elongation -- saturated"
"1219","GRMZM5G854500","palmitate biosynthesis II (bacteria and plants)"
"1220","GRMZM5G854500","stearate biosynthesis II (plants)"
"1221","GRMZM2G151476","fatty acid elongation -- saturated"
"1222","GRMZM2G151476","palmitate biosynthesis II (bacteria and plants)"
"1223","GRMZM2G151476","stearate biosynthesis II (plants)"
"1224","GRMZM2G000219","copper transport II"
"1225","GRMZM2G000219","copper transport I"
"1226","GRMZM2G132238","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"1227","GRMZM2G019029","phospholipases"
"1228","GRMZM2G019029","choline biosynthesis III"
"1229","GRMZM5G815839","aerobic respiration -- electron donor II"
"1230","GRMZM5G830250","mevalonate pathway I"
"1231","GRMZM5G830250","isoleucine degradation I"
"1232","GRMZM2G004222","glycolysis III"
"1233","GRMZM2G004222","Calvin-Benson-Bassham cycle"
"1234","GRMZM2G004222","gluconeogenesis I"
"1235","GRMZM2G004222","glycolysis I"
"1236","GRMZM2G004222","glycolysis IV (plant cytosol)"
"1237","GRMZM2G314663","homogalacturonan degradation"
"1238","GRMZM2G152908","galactose degradation III"
"1239","GRMZM2G152908","sucrose degradation III"
"1240","GRMZM2G152908","sucrose biosynthesis"
"1241","GRMZM2G152105","fatty acid elongation -- saturated"
"1242","GRMZM2G152105","palmitate biosynthesis II (bacteria and plants)"
"1243","GRMZM2G152105","stearate biosynthesis II (plants)"
"1244","GRMZM2G007252","brassinosteroid biosynthesis II"
"1245","GRMZM2G007252","colanic acid building blocks biosynthesis"
"1246","GRMZM2G007252","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"1247","GRMZM2G007252","galactose degradation III"
"1248","GRMZM2G007252","galactose degradation I (Leloir pathway)"
"1249","GRMZM2G007252","stachyose degradation"
"1250","GRMZM2G007252","UDP-galactose biosynthesis"
"1251","GRMZM2G078890","homogalacturonan biosynthesis"
"1252","GRMZM2G124317","IAA biosynthesis I"
"1253","GRMZM5G891276","sphingolipid biosynthesis (plants)"
"1254","GRMZM2G415793","jasmonic acid biosynthesis"
"1255","GRMZM2G149273","betanidin degradation"
"1256","GRMZM2G157760","phospholipases"
"1257","GRMZM2G157760","D-<i>myo<i>-inositol (145)-trisphosphate biosynthesis"
"1258","GRMZM2G157760","phospholipases"
"1259","GRMZM2G329144","glutathione redox reactions I"
"1260","GRMZM2G170915","photorespiration"
"1261","GRMZM2G170812","brassinosteroid biosynthesis II"
"1262","GRMZM2G095115","&gamma;-glutamyl cycle"
"1263","GRMZM2G095115","hypoglycin biosynthesis"
"1264","GRMZM2G007922","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"1265","GRMZM2G465333","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"1266","GRMZM2G058522","superoxide radicals degradation"
"1267","GRMZM2G151468","starch degradation"
"1268","GRMZM2G080423","adenosine nucleotides <i>de novo<i> biosynthesis"
"1269","GRMZM2G043295","flavonol glucosylation I"
"1270","GRMZM2G043295","flavonol glucosylation I"
"1271","GRMZM2G043295","flavonol glucosylation I"
"1272","GRMZM2G043295","cytokinins-<i>O<i>-glucoside biosynthesis"
"1273","GRMZM2G043295","cytokinins-<i>O<i>-glucoside biosynthesis"
"1274","GRMZM2G015280","betanidin degradation"
"1275","GRMZM2G045467","homogalacturonan biosynthesis"
"1276","GRMZM2G099101","cellulose biosynthesis"
"1277","GRMZM5G872256","stachyose biosynthesis"
"1278","GRMZM2G426964","pentose phosphate pathway (oxidative branch)"
"1279","GRMZM2G359070","inosine-5-phosphate biosynthesis II"
"1280","GRMZM2G359070","adenosine nucleotides <i>de novo<i> biosynthesis"
"1281","GRMZM2G359070","purine nucleotides <i>de novo<i> biosynthesis II"
"1282","GRMZM2G051613","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"1283","GRMZM2G051613","aerobic respiration -- electron donor II"
"1284","GRMZM2G051613","NADNADH phosphorylation and dephosphorylation"
"1285","GRMZM2G024293","chorismate biosynthesis I"
"1286","GRMZM2G704488","2-deoxymugineic acid phytosiderophore biosynthesis"
"1287","GRMZM2G704488","nicotianamine biosynthesis"
"1288","AC233955.1_FG003","2-deoxymugineic acid phytosiderophore biosynthesis"
"1289","AC233955.1_FG003","nicotianamine biosynthesis"
"1290","GRMZM2G066716","chorismate biosynthesis I"
"1291","GRMZM2G385200","2-deoxymugineic acid phytosiderophore biosynthesis"
"1292","GRMZM2G385200","nicotianamine biosynthesis"
"1293","GRMZM2G312481","2-deoxymugineic acid phytosiderophore biosynthesis"
"1294","GRMZM2G312481","nicotianamine biosynthesis"
"1295","GRMZM2G034956","2-deoxymugineic acid phytosiderophore biosynthesis"
"1296","GRMZM2G034956","nicotianamine biosynthesis"
"1297","GRMZM2G034791","citrulline-nitric oxide cycle"
"1298","GRMZM2G152417","acetate conversion to acetyl-CoA"
"1299","GRMZM2G152417","ethanol degradation IV (peroxisomal)"
"1300","GRMZM2G152417","ethanol degradation II (cytosol)"
"1301","GRMZM2G123987","CDP-diacylglycerol biosynthesis II"
"1302","GRMZM2G123987","CDP-diacylglycerol biosynthesis I"
"1303","GRMZM2G123987","triacylglycerol biosynthesis"
"1304","GRMZM2G124059","inosine-5-phosphate biosynthesis II"
"1305","GRMZM2G124059","adenosine nucleotides <i>de novo<i> biosynthesis"
"1306","GRMZM2G124059","purine nucleotides <i>de novo<i> biosynthesis II"
"1307","GRMZM2G124059","arginine biosynthesis II (acetyl cycle)"
"1308","GRMZM2G124059","arginine biosynthesis I"
"1309","GRMZM2G124059","citrulline-nitric oxide cycle"
"1310","GRMZM2G124059","urea cycle"
"1311","GRMZM5G830983","GDP-L-fucose biosynthesis I (from GDP-D-mannose)"
"1312","GRMZM5G830983","brassinosteroid biosynthesis II"
"1313","GRMZM5G830983","colanic acid building blocks biosynthesis"
"1314","GRMZM5G830983","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"1315","GRMZM5G830983","galactose degradation III"
"1316","GRMZM5G830983","galactose degradation I (Leloir pathway)"
"1317","GRMZM5G830983","stachyose degradation"
"1318","GRMZM5G830983","UDP-galactose biosynthesis"
"1319","GRMZM2G415117","lysine biosynthesis VI"
"1320","GRMZM2G308351","23-dihydroxybenzoate biosynthesis"
"1321","GRMZM2G308351","valine degradation II"
"1322","GRMZM2G308351","leucine degradation III"
"1323","GRMZM2G308351","phenylethanol biosynthesis"
"1324","GRMZM2G078472","asparagine biosynthesis I"
"1325","GRMZM2G117246","pinobanksin biosynthesis"
"1326","GRMZM2G117246","leucopelargonidin and leucocyanidin biosynthesis"
"1327","GRMZM2G117246","leucodelphinidin biosynthesis"
"1328","GRMZM2G117246","flavonoid and flavonol biosynthesis pathway leading to anthocyanin biosynthesis and accumulation"
"1329","GRMZM2G118959","xylan biosynthesis"
"1330","GRMZM2G145451","phenylalanine biosynthesis II"
"1331","GRMZM2G145451","phenylalanine biosynthesis I"
"1332","GRMZM2G054300","superoxide radicals degradation"
"1333","GRMZM2G054300","ascorbate glutathione cycle"
"1334","GRMZM2G054300","ethanol degradation IV (peroxisomal)"
"1335","GRMZM2G054300","betanidin degradation"
"1336","GRMZM2G124313","phosphatidylglycerol biosynthesis I (plastidic)"
"1337","GRMZM2G124313","phosphatidylglycerol biosynthesis II (non-plastidic)"
"1338","GRMZM2G124313","cardiolipin biosynthesis II"
"1339","GRMZM2G020953","phospholipases"
"1340","GRMZM2G347717","brassinosteroid biosynthesis II"
"1341","GRMZM2G347717","UDP-D-xylose and UDP-D-glucuronate biosynthesis"
"1342","AC233939.1_FG003","citrulline-nitric oxide cycle"
"1343","GRMZM2G021202","citrulline-nitric oxide cycle"
"1344","GRMZM2G036060","citrulline-nitric oxide cycle"
"1345","GRMZM5G881054","citrulline-nitric oxide cycle"
"1346","GRMZM5G825759","adenosine nucleotides <i>de novo<i> biosynthesis"
"1347","GRMZM2G166767","GDP-L-fucose biosynthesis I (from GDP-D-mannose)"
"1348","GRMZM2G166767","brassinosteroid biosynthesis II"
"1349","GRMZM2G166767","colanic acid building blocks biosynthesis"
"1350","GRMZM2G166767","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"1351","GRMZM2G166767","galactose degradation III"
"1352","GRMZM2G166767","galactose degradation I (Leloir pathway)"
"1353","GRMZM2G166767","stachyose degradation"
"1354","GRMZM2G166767","UDP-galactose biosynthesis"
"1355","GRMZM2G166767","UDP-L-rhamnose biosynthesis"
"1356","GRMZM2G165357","GDP-L-fucose biosynthesis I (from GDP-D-mannose)"
"1357","GRMZM2G165357","brassinosteroid biosynthesis II"
"1358","GRMZM2G165357","colanic acid building blocks biosynthesis"
"1359","GRMZM2G165357","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"1360","GRMZM2G165357","galactose degradation III"
"1361","GRMZM2G165357","galactose degradation I (Leloir pathway)"
"1362","GRMZM2G165357","stachyose degradation"
"1363","GRMZM2G165357","UDP-galactose biosynthesis"
"1364","GRMZM2G165357","UDP-D-xylose and UDP-D-glucuronate biosynthesis"
"1365","GRMZM2G114126","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"1366","GRMZM2G089803","GA<sub>12<sub> biosynthesis"
"1367","GRMZM2G089803","GA<sub>12<sub> biosynthesis"
"1368","GRMZM2G089803","GA<sub>12<sub> biosynthesis"
"1369","GRMZM2G151893","threonine biosynthesis from homoserine"
"1370","GRMZM2G151893","methionine biosynthesis II"
"1371","GRMZM2G131539","glycolysis III"
"1372","GRMZM2G131539","gluconeogenesis I"
"1373","GRMZM2G131539","glycolysis I"
"1374","GRMZM2G131539","glycolysis IV (plant cytosol)"
"1375","GRMZM2G131539","Rubisco shunt"
"1376","GRMZM2G123107","cellulose biosynthesis"
"1377","GRMZM2G307906","camptothecin biosynthesis"
"1378","GRMZM5G870932","gluconeogenesis I"
"1379","GRMZM5G870932","superpathway of glyoxylate cycle"
"1380","GRMZM2G036861","chorismate biosynthesis I"
"1381","GRMZM2G030839","mevalonate pathway I"
"1382","GRMZM2G144985","sphingolipid biosynthesis (plants)"
"1383","GRMZM2G017678","GDP-L-fucose biosynthesis I (from GDP-D-mannose)"
"1384","GRMZM2G017678","brassinosteroid biosynthesis II"
"1385","GRMZM2G017678","colanic acid building blocks biosynthesis"
"1386","GRMZM2G017678","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"1387","GRMZM2G017678","galactose degradation III"
"1388","GRMZM2G017678","galactose degradation I (Leloir pathway)"
"1389","GRMZM2G017678","stachyose degradation"
"1390","GRMZM2G017678","UDP-galactose biosynthesis"
"1391","GRMZM2G017678","UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)"
"1392","GRMZM2G104626","palmitate biosynthesis II (bacteria and plants)"
"1393","GRMZM2G104626","palmitate biosynthesis II (bacteria and plants)"
"1394","GRMZM2G104626","palmitate biosynthesis II (bacteria and plants)"
"1395","GRMZM2G104626","palmitate biosynthesis II (bacteria and plants)"
"1396","GRMZM2G104626","palmitate biosynthesis II (bacteria and plants)"
"1397","GRMZM2G104626","stearate biosynthesis II (plants)"
"1398","GRMZM2G104575","lysine biosynthesis VI"
"1399","GRMZM2G098875","glutamate degradation III (via 4-aminobutyrate)"
"1400","GRMZM2G098875","glutamate dependent acid resistance"
"1401","GRMZM2G098875","glutamate degradation IX (via 4-aminobutyrate)"
"1402","GRMZM2G011708","betanidin degradation"
"1403","GRMZM2G167957","lipid-dependent phytate biosynthesis II (via Ins(134)P<sub>3<sub>)"
"1404","GRMZM2G167957","D-<i>myo<i>-inositol (3456)-tetrakisphosphate biosynthesis"
"1405","GRMZM2G167957","D-<i>myo<i>-inositol (1456)-tetrakisphosphate biosynthesis"
"1406","GRMZM2G167957","1D-<i>myo<i>-inositol hexakisphosphate biosynthesis V (from Ins(134)P3)"
"1407","GRMZM2G167957","1D-<i>myo<i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza<i>)"
"1408","GRMZM2G167957","D-<i>myo<i>-inositol (3456)-tetrakisphosphate biosynthesis"
"1409","GRMZM2G167957","lipid-dependent phytate biosynthesis II (via Ins(134)P<sub>3<sub>)"
"1410","GRMZM2G167957","1D-<i>myo<i>-inositol hexakisphosphate biosynthesis V (from Ins(134)P3)"
"1411","GRMZM2G105787","epoxysqualene biosynthesis"
"1412","GRMZM2G067225","jasmonic acid biosynthesis"
"1413","GRMZM2G046601","ammonia assimilation cycle II"
"1414","GRMZM2G046601","nitrate reduction II (assimilatory)"
"1415","GRMZM2G046601","glutamine biosynthesis III"
"1416","AC233893.1_FG003","fatty acid elongation -- saturated"
"1417","AC233893.1_FG003","palmitate biosynthesis II (bacteria and plants)"
"1418","AC233893.1_FG003","stearate biosynthesis II (plants)"
"1419","AC233893.1_FG001","methionine biosynthesis II"
"1420","AC233893.1_FG001","S-methylmethionine cycle"
"1421","AC233893.1_FG001","methionine biosynthesis II"
"1422","GRMZM2G034835","homogalacturonan degradation"
"1423","GRMZM2G143450","tRNA charging pathway"
"1424","GRMZM2G143450","tRNA charging pathway"
"1425","GRMZM2G143450","tRNA charging pathway"
"1426","GRMZM2G423331","methylquercetin biosynthesis"
"1427","GRMZM2G423331","suberin biosynthesis"
"1428","GRMZM2G423331","free phenylpropanoid acid biosynthesis"
"1429","GRMZM2G423331","simplecoumarins biosynthesis"
"1430","GRMZM2G423331","phenylpropanoid biosynthesis"
"1431","GRMZM2G423331","ferulate and sinapate biosynthesis"
"1432","GRMZM2G423331","free phenylpropanoid acid biosynthesis"
"1433","GRMZM2G386998","phosphate acquisition"
"1434","GRMZM2G386998","phosphate utilization in cell wall regeneration"
"1435","GRMZM2G386998","NADNADH phosphorylation and dephosphorylation"
"1436","GRMZM2G321725","adenosine nucleotides <i>de novo<i> biosynthesis"
"1437","GRMZM2G113653","flavonol glucosylation I"
"1438","GRMZM2G113653","flavonol glucosylation I"
"1439","GRMZM2G113653","flavonol glucosylation I"
"1440","GRMZM2G113653","cytokinins-<i>O<i>-glucoside biosynthesis"
"1441","GRMZM2G113653","cytokinins-<i>O<i>-glucoside biosynthesis"
"1442","GRMZM2G113506","homogalacturonan biosynthesis"
"1443","GRMZM2G178254","colanic acid building blocks biosynthesis"
"1444","GRMZM2G178254","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"1445","GRMZM2G178254","galactose degradation III"
"1446","GRMZM2G178254","glycogen biosynthesis II (from UDP-D-Glucose)"
"1447","GRMZM2G178254","sucrose degradation III"
"1448","GRMZM2G178254","stachyose degradation"
"1449","GRMZM2G178254","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"1450","GRMZM2G178254","sucrose biosynthesis"
"1451","GRMZM2G178254","UDP-<i>N<i>-acetyl-D-glucosamine biosynthesis II"
"1452","GRMZM5G895554","sulfate activation for sulfonation"
"1453","GRMZM2G048375","adenosine nucleotides <i>de novo<i> biosynthesis"
"1454","GRMZM2G004528","<i>myo<i>-inositol biosynthesis"
"1455","GRMZM2G004528","1D-<i>myo<i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza<i>)"
"1456","GRMZM2G004172","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"1457","GRMZM2G004172","aerobic respiration -- electron donor II"
"1458","GRMZM2G004172","NADNADH phosphorylation and dephosphorylation"
"1459","GRMZM2G391833","adenosine nucleotides <i>de novo<i> biosynthesis"
"1460","GRMZM2G036411","fatty acid elongation -- saturated"
"1461","GRMZM2G036411","palmitate biosynthesis II (bacteria and plants)"
"1462","GRMZM2G036411","stearate biosynthesis II (plants)"
"1463","GRMZM2G049484","dolichyl-diphosphooligosaccharide biosynthesis"
"1464","GRMZM2G178859","geranyl diphosphate biosynthesis"
"1465","GRMZM2G178859","<i>trans trans<i>-farnesyl diphosphate biosynthesis"
"1466","GRMZM2G178859","aerobic respiration -- electron donor II"
"1467","GRMZM2G178916","homogalacturonan degradation"
"1468","GRMZM2G178960","Calvin-Benson-Bassham cycle"
"1469","GRMZM2G178960","pentose phosphate pathway (non-oxidative branch)"
"1470","GRMZM2G178960","pentose phosphate pathway (partial)"
"1471","GRMZM2G178960","Rubisco shunt"
"1472","GRMZM2G126682","plant sterol biosynthesis"
"1473","GRMZM2G126682","cyclopropane fatty acid (CFA) biosynthesis"
"1474","GRMZM2G126682","cyclopropane and cyclopropene fatty acid biosynthesis"
"1475","GRMZM2G009808","leucine biosynthesis"
"1476","GRMZM2G009808","glyoxylate cycle"
"1477","GRMZM2G009808","TCA cycle variation III (eukaryotic)"
"1478","GRMZM2G009808","glutamine biosynthesis III"
"1479","GRMZM2G009808","glyoxylate cycle"
"1480","GRMZM2G009808","TCA cycle variation III (eukaryotic)"
"1481","GRMZM2G009808","glutamine biosynthesis III"
"1482","GRMZM2G009808","leucine biosynthesis"
"1483","GRMZM2G057491","tetrapyrrole biosynthesis I"
"1484","GRMZM2G057491","tRNA charging pathway"
"1485","GRMZM2G057243","abscisic acid biosynthesis"
"1486","GRMZM2G063435","betanidin degradation"
"1487","GRMZM2G051219","tryptophan biosynthesis"
"1488","GRMZM2G382534","lutein biosynthesis"
